Artist_id,Artist_name,Artist_location
ARMQHX71187B9890D3,Mastodon,"Atlanta, GA"
AR2PT4M1187FB55B1A,Los Chichos,
ARDI88R1187B98DAB2,Foxy Brown,
ARUKJUP12086C14589,Ramón Vargas;Vladimir Jurowski,
ARZEWUR1187FB53DC8,Enthroned,"Belgica -- Namur, Namur/Ghent, East Flanders"
ARUZRFN1187B98AC05,Bone Thugs-N-Harmony,"Cleveland, OH"
ARHBWOZ1187FB3FD53,Utopia,ITALY
ARR3ONV1187B9A2F59,Muse,UK
AR3THYK1187B999F1F,João Gilberto,
ARFELOH1187B991F95,Niraj Chag,
ARO0EUG1187B9AC250,Portable,
AR6CLFP1187B9ACB94,Daniel Johnston,"Sacramento, CA"
AR6WICD1187B998708,Christian McBride,"Philadelphia, PA"
ARMFOCL119B8668919,String Trio Of New York,
AR3GYKU1187B996AB9,Jim Kweskin,"Stamford, CT"
ARDOOH01187B991055,Ultraviolence,
ARVUAJC1187B9908A5,Speedball,Speedball
ARM63WJ1187B9951EA,Autumnblaze,
ARBQPXY1187B98D67B,Kris Kristofferson,"Brownsville, TX"
ARPVFV91187B98BB94,Cinder,
AR6TD9K1187B9A207D,Sister Rosetta Tharpe,"Cotton Plant, AR"
ARYF20K1187B9B76BD,George Lopez,"ORANGE, California"
ARH861H1187B9B799E,Johnny Cash,"Kingsland, AR"
ARHWRBR119B8669309,Hatesex,
ARE17W51187FB5381B,Rui Da Silva,London
AR8U8G41187B9A833B,Tim Exile,
ARQVTCN11E2835DFFD,Marcel Mouloudji,
AR8W2DS1187B9B6E36,Alex Theory,
ARHO1WI1187B98CB84,Michael Card,
ARYUHNV1187FB482AF,Megadrums,
AROBQ0B1187FB404F6,Walter Jackson,"Pensacola, FL"
ARYNSN31187FB4C573,Bizzy Bone Presents,"Columbus, OH"
ARE9SYU1187B9B9838,Jerry Reed,"OCALA, Florida"
ARZCXO91187FB53708,Justin,Georgia
ARPEJMN11F4C84080E,New Roanoke Jug Band,Virginia
ARJJRZ41187FB4C856,Floor,
ARELA4P1187B991507,Charles Williams,Texas
AR1VWD91187FB4CE99,The Animals_ Sonny Boy Williamson,Newcastle
ARUYVDC12086C11D5C,Fever Ray,Stockholm
ARUT60Q1187B9B90E9,Orquesta Broadway,
AR8Q4RZ1187FB46BDC,T-Bone Walker,"Linden, TX"
ARMBR4Y1187B9990EB,David Martin,California - SF
AR0CANF1187B9AF35F,Dilated Peoples,"Los Angeles, California"
ARDDTL91187B9974A7,Warren Barfield,
ARZJFLE12086C117FF,MN,
AR9OLFX1187B9A5762,Bob Wills,"Kosse, TX"
ARYPRAG11F50C48C62,Checkers,
ARYN8YT1187FB38396,Los Iracundos,
ARJ9DSA1187B990E00,John And The Bluesbreakers Mayall,
ARVUQIC1187B9A7C66,Hevia,
ARK6JC91187B9B4B2D,Babbie Mason,United States
AROGAPH1187B98CF9C,Benabar,
AR8ACFK1187B9B4063,Champion Jack Dupree,"New Orleans, LA"
ARLDW2Y1187B9B544F,Tommy James & The Shondells,"Dayton, OH"
ARELA4P1187B991507,Charles Williams,Texas
ARELFAE1187FB40D0A,Bally Sagoo,
ARMAOIY1187B9A3893,Jerry Yan,
ARRPCKN1187FB5BA2F,Z.Z. Hill,"Naples, TX"
ARDGBFI1269FCD6AA6,The Grease Band,
ARGEKDX1187FB3A5BF,Marcus Miller,"Brooklyn, NY"
ARGXNS21187B999665,Tina Britt,Florida
