Song_id,Song_Name,Duration,AlbumName,A_id
SOVLGJY12A8C13FBED,Deep Sea Creature,280.21506,Call of the Mastodon,ARMQHX71187B9890D3
SOGDQZK12A8C13F37C,No Quieras Marcharte,191.68608,Adelante,AR2PT4M1187FB55B1A
SODMVJR12A6D4F985D,If I...,222.92853,Ill Na Na,ARDI88R1187B98DAB2
SOIWBDR12A8C13A4AC,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,278.38649,Massenet: Werther,ARUKJUP12086C14589
SOHCCIA12AC907577F,Ad Te Clamamus Exsvles Mortva Liberi,89.15546,Pentagrammaton,ARZEWUR1187FB53DC8
SOBOAQC12A8C13E3E9,Murder One,255.73832,BTNHRESURRECTION,ARUZRFN1187B98AC05
SOKVLHX12AB0187B39,On My Feet Again,239.59465,Utopia,ARHBWOZ1187FB3FD53
SOMMSMW12A8C13FCCC,Bedroom Acoustics,156.96934,Plug In Baby,ARR3ONV1187B9A2F59
SODPNJR12A6D4FA52D,Segredo,197.19791,Joao Voz E Violato,AR3THYK1187B999F1F
SOFFLLP12AB018ED52,Sajana (Ft Faheem Mazhar),262.5824,The Lost Souls Bonus EP,ARFELOH1187B991F95
SOZSPTD12A8C143BFD,Theresa,362.60526,Distance,ARO0EUG1187B9AC250
SOHWWOM12AB0186627,Story Of An Artist (Don't Be Scared),311.53587,Welcome to my World,AR6CLFP1187B9ACB94
SOZVLXO12AF72ABCDB,D Shuffle Jam (Part 2),692.06159,Live At Tonic,AR6WICD1187B998708
SOVBVJW12AAF3B5F77,Ju Ju,392.4371,Intermobility,ARMFOCL119B8668919
SOINHKC12AB01836E0,When I Was A Cowboy (Western Plains) (LP Version),208.90077,Garden Of Joy,AR3GYKU1187B996AB9
SODKUVJ12AB0187A4A,I Destructor (Lenny Dee Mix),367.41179,Blown Away,ARDOOH01187B991055
SOMJNMD12AB0187F93,No Survivors,212.21832,Maximum Speed,ARVUAJC1187B9908A5
SOZNBMX12AB0182AD1,Her Golden Robe In Silence Veiled,286.24934,DämmerElbenTragödie,ARM63WJ1187B9951EA
SOIRIWN12AB0183AE7,Same Old Song,194.37669,Original Album Classics,ARBQPXY1187B98D67B
SOESNFW12A6D4F995F,The Ride (Album),218.61832,House Full Of No Trust,ARPVFV91187B98BB94
SOGNFKZ12A8C145224,Two Little Fishes_ Five Loaves Of Bread,156.42077,Complete / Intégrale Vol. 5 (1953-1957),AR6TD9K1187B9A207D
SOSJVGP12AB0185B95,Church Hangover,270.68036,El Mas Chingon,ARYF20K1187B9B76BD
SOHHGUG12A6D4F4E77,I Got Stripes (Live),112.95302,The Legend,ARH861H1187B9B799E
SOBIPBF12AB0184B0C,The Greed Of Our Stare,307.87873,Unwant,ARHWRBR119B8669309
SONUTGA12AB0187F44,The Contracting Perception Of Consciousness,448.62649,Praying Mantis,ARE17W51187FB5381B
SOIGIUZ12A8C1337B1,Post-Toxic Finger Disorder,80.3522,Tim Exile's Nuisance Gabbaret Lounge,AR8U8G41187B9A833B
SORRQLD12A8C139E8D,Qui Donc A Changé ?,110.34077,36 Grands Succès,ARQVTCN11E2835DFFD
SOHHKOU12A81C224B2,Lotus Kiss,317.88363,Gathering The Tribe,AR8W2DS1187B9B6E36
SOWUAYB12A6D4FA1D4,So Many Books ... (The Word Album Version),163.082,Joy in the Journey,ARHO1WI1187B98CB84
SOYTQGO12A8C138C1B,Drummer's Circle,237.24363,Transformation,ARYUHNV1187FB482AF
SOOOBCE12A8C134019,What Would You Do,156.682,Welcome Home / The Okeh Years,AROBQ0B1187FB404F6
SOROLCY12AB0182652,Intro,50.9122,Double R,ARYNSN31187FB4C573
SOWBEBK12AB018306A,When You're Hot_ You're Hot,138.4224,Les 100 Plus Grands Titres Country,ARE9SYU1187B9B9838
SOLIAYU12A6D4F9923,Kong,275.85261,Justin In Love With HK Philharmonic Concert Live,ARZCXO91187FB53708
SOOBRTK12A8C13D6A9,When Those Two Towers Fell,178.20689,Play It For A Long Time,ARPEJMN11F4C84080E
SONROBV12AB0188BC7,Ignis,144.92689,Its Not The Same,ARJJRZ41187FB4C856
SOLWBGS12AB0187EAD,Close Up,64.05179,Close Up,ARELA4P1187B991507
SOOCWAO12AB01852C1,Bo Diddley,463.49016,The Animals with Sonny Boy Williamson,AR1VWD91187FB4CE99
SOJDJRK12AB018565D,I'm Not Done,280.24118,Live In Lulea,ARUYVDC12086C11D5C
SOYNXWG12AC468F51A,La Sitiera,226.66404,Tiqui_ Tiqui,ARUT60Q1187B9B90E9
SOQYKBE12AC46867EE,Teenage Baby (Digitally Remastered),123.29751,Bobby Sox Blues - EP,AR8Q4RZ1187FB46BDC
SOHWKQE12A8C142406,It Must Be,286.4322,Something in Your Eyes,ARMBR4Y1187B9990EB
SOUYTJK12A6701CD3D,Big Business,149.91628,Neighborhood Watch,AR0CANF1187B9AF35F
SOYVONC12AB0187167,Shadow,207.51628,Reach,ARDDTL91187B9974A7
SOQYLQN12AB01801B8,The Truth,378.06975,Speed 002,ARZJFLE12086C117FF
SOCXXWR12AC468929B,Sittin' On Top of the Wolrd,201.76934,Bob Wills and His Texas Playboys 1932-1947,AR9OLFX1187B9A5762
SOHLKRL12A8C141B63,Oh Oh Oh Baby,135.70567,Flame In My Heart,ARYPRAG11F50C48C62
